,LONG DESCRIPTION,DIAGNOSIS CODE,processed_description,Cluster
26,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS),60001,hypertrophy benign of prostate with urinary obstruction and other lower urinary tract symptoms luts,9
27,"Other and unspecified alcohol dependence, continuous",30391,other and unspecified alcohol dependence continuous,7
28,Palpitations,7851,palpitations,1
29,"Peripheral vascular disease, unspecified",4439,peripheral vascular disease unspecified,3
30,Other malaise and fatigue,78079,other malaise and fatigue,1
31,"Congestive heart failure, unspecified",4280,congestive heart failure unspecified,3
32,"Pneumonia, organism unspecified",486,pneumonia organism unspecified,7
33,"Bipolar I disorder, most recent episode (or current) manic, severe, specified as with psychotic behavior",29644,bipolar i disorder most recent episode or current manic severe specified as with psychotic behavior,3
34,"Hematuria, unspecified",59970,hematuria unspecified,7
35,Blood in stool,5781,blood in stool,1
36,Other alteration of consciousness,78009,other alteration of consciousness,1
37,Septicemia due to escherichia coli [E. coli],03842,septicemia due to escherichia coli e coli,1
38,Closed fracture of intertrochanteric section of neck of femur,82021,closed fracture of intertrochanteric section of neck of femur,10
39,Pathologic fracture of vertebrae,73313,pathologic fracture of vertebrae,10
40,"Abdominal pain, unspecified site",78900,abdominal pain unspecified site,7
41,Aortic valve disorders,4241,aortic valve disorders,1
42,"Other complications due to renal dialysis device, implant, and graft",99673,other complications due to renal dialysis device implant and graft,8
43,"Depressive disorder, not elsewhere classified",311,depressive disorder not elsewhere classified,1
44,Unspecified transient cerebral ischemia,4359,unspecified transient cerebral ischemia,7
45,"Dysphagia, unspecified",78720,dysphagia unspecified,7
46,"Hypoglycemia, unspecified",2512,hypoglycemia unspecified,7
47,Occlusion and stenosis of carotid artery without mention of cerebral infarction,43310,occlusion and stenosis of carotid artery without mention of cerebral infarction,1
48,Other disorders of neurohypophysis,2536,other disorders of neurohypophysis,1
49,Acute pancreatitis,5770,acute pancreatitis,5
50,"Chest pain, unspecified",78650,chest pain unspecified,7
51,Arterial embolism and thrombosis of lower extremity,44422,arterial embolism and thrombosis of lower extremity,9
52,Intermediate coronary syndrome,4111,intermediate coronary syndrome,1
53,Atrial fibrillation,42731,atrial fibrillation,1
54,Other closed transcervical fracture of neck of femur,82009,other closed transcervical fracture of neck of femur,10
55,Nausea with vomiting,78701,nausea with vomiting,1
56,Acute and chronic respiratory failure,51884,acute and chronic respiratory failure,5
57,Dehydration,27651,dehydration,1
58,"Urinary tract infection, site not specified",5990,urinary tract infection site not specified,3
59,"Hemorrhage of gastrointestinal tract, unspecified",5789,hemorrhage of gastrointestinal tract unspecified,7
60,"Acute kidney failure, unspecified",5849,acute kidney failure unspecified,5
61,"Unspecified gastritis and gastroduodenitis, without mention of hemorrhage",53550,unspecified gastritis and gastroduodenitis without mention of hemorrhage,7
62,Nausea alone,78702,nausea alone,1
63,Headache,7840,headache,1
64,Cystic fibrosis without mention of meconium ileus,27700,cystic fibrosis without mention of meconium ileus,1
65,Rhabdomyolysis,72888,rhabdomyolysis,1
66,Empyema without mention of fistula,5109,empyema without mention of fistula,1
67,"Thoracoabdominal aneurysm, without mention of rupture",4417,thoracoabdominal aneurysm without mention of rupture,1
68,Cough,7862,cough,1
69,Attention to colostomy,V553,attention to colostomy,1
70,"Major depressive affective disorder, single episode, unspecified",29620,major depressive affective disorder single episode unspecified,7
71,Syncope and collapse,7802,syncope and collapse,1
72,Atrial flutter,42732,atrial flutter,1
73,Aneurysm of other specified artery,44289,aneurysm of other specified artery,3
74,"Pain in joint, pelvic region and thigh",71945,pain in joint pelvic region and thigh,1
75,"Osteoarthrosis, unspecified whether generalized or localized, pelvic region and thigh",71595,osteoarthrosis unspecified whether generalized or localized pelvic region and thigh,7
76,Other general symptoms,78099,other general symptoms,1
77,Hemorrhage complicating a procedure,99811,hemorrhage complicating a procedure,1
78,"Hypotension, unspecified",4589,hypotension unspecified,7
79,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled",25080,diabetes with other specified manifestations type ii or unspecified type not stated as uncontrolled,6
80,"Bipolar disorder, unspecified",29680,bipolar disorder unspecified,7
81,Other orthopedic aftercare,V5489,other orthopedic aftercare,1
82,Encounter for removal of internal fixation device,V5401,encounter for removal of internal fixation device,1
83,"Osteoarthrosis, localized, primary, shoulder region",71511,osteoarthrosis localized primary shoulder region,1
84,Pain in limb,7295,pain in limb,1
85,"Subendocardial infarction, initial episode of care",41071,subendocardial infarction initial episode of care,5
86,"Osteoarthrosis, localized, not specified whether primary or secondary, pelvic region and thigh",71535,osteoarthrosis localized not specified whether primary or secondary pelvic region and thigh,3
87,"Cholecystitis, unspecified",57510,cholecystitis unspecified,7
88,"Abdominal pain, epigastric",78906,abdominal pain epigastric,1
89,Cirrhosis of liver without mention of alcohol,5715,cirrhosis of liver without mention of alcohol,1
90,"Malignant neoplasm of upper lobe, bronchus or lung",1623,malignant neoplasm of upper lobe bronchus or lung,2
91,"Fever, unspecified",78060,fever unspecified,7
92,"Osteoarthrosis, unspecified whether generalized or localized, lower leg",71596,osteoarthrosis unspecified whether generalized or localized lower leg,9
93,Obstruction of bile duct,5762,obstruction of bile duct,4
94,"Unspecified fracture of ankle, closed",8248,unspecified fracture of ankle closed,10
95,"Cerebral artery occlusion, unspecified with cerebral infarction",43491,cerebral artery occlusion unspecified with cerebral infarction,1
96,Dislocation of prosthetic joint,99642,dislocation of prosthetic joint,1
97,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites",20280,other malignant lymphomas unspecified site extranodal and solid organ sites,7
98,Infection and inflammatory reaction due to indwelling urinary catheter,99664,infection and inflammatory reaction due to indwelling urinary catheter,1
99,Other convulsions,78039,other convulsions,1
100,Closed fracture of pubis,8082,closed fracture of pubis,10
101,"Paranoid type schizophrenia, chronic with acute exacerbation",29534,paranoid type schizophrenia chronic with acute exacerbation,5
102,Acute venous embolism and thrombosis of deep vessels of proximal lower extremity,45341,acute venous embolism and thrombosis of deep vessels of proximal lower extremity,9
103,"Pain in joint, lower leg",71946,pain in joint lower leg,9
104,"Other complications due to genitourinary device, implant, and graft",99676,other complications due to genitourinary device implant and graft,8
105,Dizziness and giddiness,7804,dizziness and giddiness,1
106,Acute on chronic systolic heart failure,42823,acute on chronic systolic heart failure,5
107,Other ascites,78959,other ascites,1
108,Hypoxemia,79902,hypoxemia,1
109,Other respiratory abnormalities,78609,other respiratory abnormalities,1
110,Other inflammatory disorders of male genital organs,6084,other inflammatory disorders of male genital organs,1
111,"Abdominal pain, right lower quadrant",78903,abdominal pain right lower quadrant,9
112,Swelling of limb,72981,swelling of limb,1
113,Painful respiration,78652,painful respiration,1
114,Care involving other specified rehabilitation procedure,V5789,care involving other specified rehabilitation procedure,3
115,"Acute myocardial infarction of other anterior wall, initial episode of care",41011,acute myocardial infarction of other anterior wall initial episode of care,5
116,Unspecified disorder of kidney and ureter,5939,unspecified disorder of kidney and ureter,7
117,Postmenopausal bleeding,6271,postmenopausal bleeding,1
118,Closed fracture of unspecified part of neck of femur,8208,closed fracture of unspecified part of neck of femur,10
119,Pneumonia due to Pseudomonas,4821,pneumonia due to pseudomonas,1
120,Unspecified psychosis,2989,unspecified psychosis,7
121,"Vascular dementia, with delirium",29041,vascular dementia with delirium,1
122,"Asthma, unspecified type, with status asthmaticus",49391,asthma unspecified type with status asthmaticus,6
123,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),60000,hypertrophy benign of prostate without urinary obstruction and other lower urinary tract symptom luts,9
124,Intestinal infection due to Clostridium difficile,00845,intestinal infection due to clostridium difficile,1
125,Other and unspecified noninfectious gastroenteritis and colitis,5589,other and unspecified noninfectious gastroenteritis and colitis,7
126,Incisional hernia without mention of obstruction or gangrene,55321,incisional hernia without mention of obstruction or gangrene,4
127,Calculus of kidney,5920,calculus of kidney,1
128,Impotence of organic origin,60784,impotence of organic origin,1
129,"Diabetes with ketoacidosis, type I [juvenile type], uncontrolled",25013,diabetes with ketoacidosis type i juvenile type uncontrolled,6
130,"Epilepsy, unspecified, without mention of intractable epilepsy",34590,epilepsy unspecified without mention of intractable epilepsy,7
131,"Acute edema of lung, unspecified",5184,acute edema of lung unspecified,5
132,Iron deficiency anemia secondary to blood loss (chronic),2800,iron deficiency anemia secondary to blood loss chronic,3
133,Diarrhea,78791,diarrhea,1
134,"Leukocytosis, unspecified",28860,leukocytosis unspecified,7
135,Closed fracture of unspecified part of humerus,81220,closed fracture of unspecified part of humerus,10
136,Hyposmolality and/or hyponatremia,2761,hyposmolality andor hyponatremia,1
137,Unspecified fall,E8889,unspecified fall,7
138,Chronic obstructive asthma with (acute) exacerbation,49322,chronic obstructive asthma with acute exacerbation,5
139,"Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled",25070,diabetes with peripheral circulatory disorders type ii or unspecified type not stated as uncontrolled,6
140,Flat foot,734,flat foot,1
141,"Calculus of gallbladder without mention of cholecystitis, without mention of obstruction",57420,calculus of gallbladder without mention of cholecystitis without mention of obstruction,4
142,"Abdominal pain, other specified site",78909,abdominal pain other specified site,3
143,Acute and chronic cholecystitis,57512,acute and chronic cholecystitis,5
144,"Major depressive affective disorder, single episode, severe, specified as with psychotic behavior",29624,major depressive affective disorder single episode severe specified as with psychotic behavior,3
145,"Flatulence, eructation, and gas pain",7873,flatulence eructation and gas pain,1
146,"Bipolar I disorder, most recent episode (or current) manic, severe, without mention of psychotic behavior",29643,bipolar i disorder most recent episode or current manic severe without mention of psychotic behavior,1
147,Other left bundle branch block,4263,other left bundle branch block,1
148,Hepatic encephalopathy,5722,hepatic encephalopathy,1
149,"Abdominal pain, periumbilic",78905,abdominal pain periumbilic,1
150,Closed fracture of lumbar vertebra without mention of spinal cord injury,8054,closed fracture of lumbar vertebra without mention of spinal cord injury,10
151,Subarachnoid hemorrhage,430,subarachnoid hemorrhage,1
152,"Abdominal or pelvic swelling, mass, or lump, other specified site",78939,abdominal or pelvic swelling mass or lump other specified site,3
153,Acute cholecystitis,5750,acute cholecystitis,5
154,Non-healing surgical wound,99883,nonhealing surgical wound,1
155,Acute systolic heart failure,42821,acute systolic heart failure,5
156,"Paranoid type schizophrenia, unspecified",29530,paranoid type schizophrenia unspecified,6
157,Abnormality of gait,7812,abnormality of gait,1
158,Rash and other nonspecific skin eruption,7821,rash and other nonspecific skin eruption,1
159,Cellulitis and abscess of upper arm and forearm,6823,cellulitis and abscess of upper arm and forearm,1
160,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",25000,diabetes mellitus without mention of complication type ii or unspecified type not stated as uncontrolled,6
161,"Systolic heart failure, unspecified",42820,systolic heart failure unspecified,3
162,Attention to ileostomy,V552,attention to ileostomy,1
163,"Bipolar I disorder, most recent episode (or current) mixed, severe, without mention of psychotic behavior",29663,bipolar i disorder most recent episode or current mixed severe without mention of psychotic behavior,1
164,Unspecified disorder of penis,6079,unspecified disorder of penis,7
165,"Malignant neoplasm of stomach, unspecified site",1519,malignant neoplasm of stomach unspecified site,2
166,"Malignant neoplasm of bladder, part unspecified",1889,malignant neoplasm of bladder part unspecified,2
167,Closed fracture of upper end of fibula alone,82301,closed fracture of upper end of fibula alone,10
168,Nonspecific abnormal electrocardiogram [ECG] [EKG],79431,nonspecific abnormal electrocardiogram ecg ekg,1
169,Unspecified essential hypertension,4019,unspecified essential hypertension,7
170,"Cellulitis and abscess of foot, except toes",6827,cellulitis and abscess of foot except toes,1
171,Intraspinal abscess,3241,intraspinal abscess,1
172,Pneumonitis due to inhalation of food or vomitus,5070,pneumonitis due to inhalation of food or vomitus,1
173,"Coronary atherosclerosis of unspecified type of vessel, native or graft",41400,coronary atherosclerosis of unspecified type of vessel native or graft,7
174,"Pressure ulcer, lower back",70703,pressure ulcer lower back,9
175,Psychophysical visual disturbances,36816,psychophysical visual disturbances,1
176,"Torsion of ovary, ovarian pedicle, or fallopian tube",6205,torsion of ovary ovarian pedicle or fallopian tube,1
177,"Open wound of scalp, without mention of complication",8730,open wound of scalp without mention of complication,0
178,Hemorrhage of rectum and anus,5693,hemorrhage of rectum and anus,1
179,"Constipation, unspecified",56400,constipation unspecified,7
180,Disturbance of skin sensation,7820,disturbance of skin sensation,1
181,Poisoning by salicylates,9651,poisoning by salicylates,1
182,Benign neoplasm of colon,2113,benign neoplasm of colon,2
183,"Schizoaffective disorder, chronic with acute exacerbation",29574,schizoaffective disorder chronic with acute exacerbation,5
184,Lumbago,7242,lumbago,1
185,"Renal failure, unspecified",586,renal failure unspecified,7
186,Unspecified pleural effusion,5119,unspecified pleural effusion,7
187,Other chest pain,78659,other chest pain,1
188,Empyema with fistula,5100,empyema with fistula,1
189,Anal or rectal pain,56942,anal or rectal pain,1
190,Care involving other physical therapy,V571,care involving other physical therapy,1
191,Abdominal aneurysm without mention of rupture,4414,abdominal aneurysm without mention of rupture,1
192,Other complications due to internal joint prosthesis,99677,other complications due to internal joint prosthesis,8
193,Chronic venous hypertension with other complication,45939,chronic venous hypertension with other complication,3
194,Hip and thigh injury,9596,hip and thigh injury,1
195,"Infection and inflammatory reaction due to other genitourinary device, implant, and graft",99665,infection and inflammatory reaction due to other genitourinary device implant and graft,8
196,Closed fracture of dorsal [thoracic] vertebra without mention of spinal cord injury,8052,closed fracture of dorsal thoracic vertebra without mention of spinal cord injury,10
197,Sinoatrial node dysfunction,42781,sinoatrial node dysfunction,1
198,Unspecified circulatory system disorder,4599,unspecified circulatory system disorder,7
199,"Mononeuritis of lower limb, unspecified",3558,mononeuritis of lower limb unspecified,9
200,Unspecified intestinal obstruction,5609,unspecified intestinal obstruction,4
201,Prolapse of vaginal vault after hysterectomy,6185,prolapse of vaginal vault after hysterectomy,1
202,"Abdominal or pelvic swelling, mass, or lump, unspecified site",78930,abdominal or pelvic swelling mass or lump unspecified site,7
203,Closed fracture of unspecified part of fibula with tibia,82382,closed fracture of unspecified part of fibula with tibia,10
204,"Osteoarthrosis, unspecified whether generalized or localized, shoulder region",71591,osteoarthrosis unspecified whether generalized or localized shoulder region,7
205,"Abdominal pain, left lower quadrant",78904,abdominal pain left lower quadrant,9
206,"Cellulitis and abscess of hand, except fingers and thumb",6824,cellulitis and abscess of hand except fingers and thumb,1
207,"Atherosclerosis of native arteries of the extremities, unspecified",44020,atherosclerosis of native arteries of the extremities unspecified,7
208,Brachial neuritis or radiculitis NOS,7234,brachial neuritis or radiculitis nos,1
209,"Mechanical complication of other vascular device, implant, and graft",9961,mechanical complication of other vascular device implant and graft,8
210,Other pulmonary embolism and infarction,41519,other pulmonary embolism and infarction,1
211,"Contusion of face, scalp, and neck except eye(s)",920,contusion of face scalp and neck except eyes,1
212,"Asthma, unspecified type, with (acute) exacerbation",49392,asthma unspecified type with acute exacerbation,5
213,"Inguinal hernia, without mention of obstruction or gangrene, unilateral or unspecified (not specified as recurrent)",55090,inguinal hernia without mention of obstruction or gangrene unilateral or unspecified not specified as recurrent,4
214,Other persistent mental disorders due to conditions classified elsewhere,2948,other persistent mental disorders due to conditions classified elsewhere,1
215,"Acute myocardial infarction of inferolateral wall, initial episode of care",41021,acute myocardial infarction of inferolateral wall initial episode of care,5
216,Hematemesis,5780,hematemesis,1
217,Alcoholic cirrhosis of liver,5712,alcoholic cirrhosis of liver,1
218,Vomiting alone,78703,vomiting alone,1
220,"Malignant neoplasm of liver, primary",1550,malignant neoplasm of liver primary,2
221,Other sequelae of chronic liver disease,5728,other sequelae of chronic liver disease,3
222,"Uterovaginal prolapse, unspecified",6184,uterovaginal prolapse unspecified,7
223,Aftercare following surgery for neoplasm,V5842,aftercare following surgery for neoplasm,2
224,End stage renal disease,5856,end stage renal disease,3
225,"Inguinal hernia, with obstruction, without mention of gangrene, unilateral or unspecified (not specified as recurrent)",55010,inguinal hernia with obstruction without mention of gangrene unilateral or unspecified not specified as recurrent,4
226,"Other complications due to other cardiac device, implant, and graft",99672,other complications due to other cardiac device implant and graft,8
227,"Swelling, mass, or lump in head and neck",7842,swelling mass or lump in head and neck,1
228,Acute infective polyneuritis,3570,acute infective polyneuritis,5
229,"Backache, unspecified",7245,backache unspecified,7
230,Hyperpotassemia,2767,hyperpotassemia,1
231,Facial weakness,78194,facial weakness,1
232,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease",40391,hypertensive chronic kidney disease unspecified with chronic kidney disease stage v or end stage renal disease,3
233,"Disorder of bone and cartilage, unspecified",73390,disorder of bone and cartilage unspecified,7
234,Complications of transplanted liver,99682,complications of transplanted liver,8
235,"Acute, but ill-defined, cerebrovascular disease",436,acute but illdefined cerebrovascular disease,5
236,Observation and evaluation for suspected abuse and neglect,V7181,observation and evaluation for suspected abuse and neglect,1
237,"Closed fracture of lower end of femur, unspecified part",82120,closed fracture of lower end of femur unspecified part,10
238,"Bacterial pneumonia, unspecified",4829,bacterial pneumonia unspecified,7
239,Precordial pain,78651,precordial pain,1
240,"Volume depletion, unspecified",27650,volume depletion unspecified,7
241,"Cardiac dysrhythmia, unspecified",4279,cardiac dysrhythmia unspecified,7
242,Acute pyelonephritis without lesion of renal medullary necrosis,59010,acute pyelonephritis without lesion of renal medullary necrosis,5
243,Malignant neoplasm of prostate,185,malignant neoplasm of prostate,2
244,Cellulitis and abscess of unspecified sites,6829,cellulitis and abscess of unspecified sites,7
245,"Spinal stenosis, lumbar region, without neurogenic claudication",72402,spinal stenosis lumbar region without neurogenic claudication,1
246,Acute diastolic heart failure,42831,acute diastolic heart failure,5
247,Unspecified disease of pericardium,4239,unspecified disease of pericardium,3
248,Delirium due to conditions classified elsewhere,2930,delirium due to conditions classified elsewhere,1
249,Persistent vomiting,5362,persistent vomiting,1
250,Other alcohol-induced mental disorders,29189,other alcoholinduced mental disorders,1
251,Orthostatic hypotension,4580,orthostatic hypotension,1
252,Closed fracture of patella,8220,closed fracture of patella,10
253,Displacement of lumbar intervertebral disc without myelopathy,72210,displacement of lumbar intervertebral disc without myelopathy,1
254,"Calculus of gallbladder and bile duct with other cholecystitis, without mention of obstruction",57470,calculus of gallbladder and bile duct with other cholecystitis without mention of obstruction,4
255,Incisional ventral hernia with obstruction,55221,incisional ventral hernia with obstruction,4
256,"Infection and inflammatory reaction due to other vascular device, implant, and graft",99662,infection and inflammatory reaction due to other vascular device implant and graft,8
257,"Vascular dementia, with delusions",29042,vascular dementia with delusions,1
258,"Other mechanical complication of other internal orthopedic device, implant, and graft",99649,other mechanical complication of other internal orthopedic device implant and graft,8
259,"Cerebral artery occlusion, unspecified without mention of cerebral infarction",43490,cerebral artery occlusion unspecified without mention of cerebral infarction,1
260,"Malignant neoplasm of bronchus and lung, unspecified",1629,malignant neoplasm of bronchus and lung unspecified,2
261,"Head injury, unspecified",95901,head injury unspecified,7
262,Neoplasm of unspecified nature of bladder,2394,neoplasm of unspecified nature of bladder,2
263,Closed anterior dislocation of humerus,83101,closed anterior dislocation of humerus,10
264,Malignant neoplasm of rectosigmoid junction,1540,malignant neoplasm of rectosigmoid junction,2
265,"Other pulmonary insufficiency, not elsewhere classified",51882,other pulmonary insufficiency not elsewhere classified,1
266,Subdural hemorrhage,4321,subdural hemorrhage,1
267,"Chronic airway obstruction, not elsewhere classified",496,chronic airway obstruction not elsewhere classified,4
268,Diverticulitis of colon (without mention of hemorrhage),56211,diverticulitis of colon without mention of hemorrhage,1
269,Atherosclerosis of native arteries of the extremities with intermittent claudication,44021,atherosclerosis of native arteries of the extremities with intermittent claudication,1
270,"Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior",29633,major depressive affective disorder recurrent episode severe without mention of psychotic behavior,1
271,Other specified retention of urine,78829,other specified retention of urine,3
272,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with loss of consciousness of unspecified duration",85186,other and unspecified cerebral laceration and contusion without mention of open intracranial wound with loss of consciousness of unspecified duration,0
273,"Dysplasia of cervix, unspecified",62210,dysplasia of cervix unspecified,7
274,"Osteoarthrosis, localized, primary, pelvic region and thigh",71515,osteoarthrosis localized primary pelvic region and thigh,1
275,Open fracture of olecranon process of ulna,81311,open fracture of olecranon process of ulna,10
276,Other specified cardiac dysrhythmias,42789,other specified cardiac dysrhythmias,3
277,"Malignant neoplasm of vulva, unspecified site",1844,malignant neoplasm of vulva unspecified site,2
278,"Bipolar I disorder, most recent episode (or current) mixed, severe, specified as with psychotic behavior",29664,bipolar i disorder most recent episode or current mixed severe specified as with psychotic behavior,3
279,Secondary malignant neoplasm of large intestine and rectum,1975,secondary malignant neoplasm of large intestine and rectum,2
280,Other amputation stump complication,99769,other amputation stump complication,1
281,"Abdominal pain, left upper quadrant",78902,abdominal pain left upper quadrant,1
282,"Diabetes with hyperosmolarity, type II or unspecified type, not stated as uncontrolled",25020,diabetes with hyperosmolarity type ii or unspecified type not stated as uncontrolled,6
283,Hallux varus (acquired),7351,hallux varus acquired,1
284,"Malignant neoplasm of kidney, except pelvis",1890,malignant neoplasm of kidney except pelvis,2
285,Atherosclerosis of native arteries of the extremities with rest pain,44022,atherosclerosis of native arteries of the extremities with rest pain,1
286,Other closed fractures of distal end of radius (alone),81342,other closed fractures of distal end of radius alone,10
287,Epistaxis,7847,epistaxis,1
288,Acute on chronic combined systolic and diastolic heart failure,42843,acute on chronic combined systolic and diastolic heart failure,5
289,"Malignant neoplasm of head, face, and neck",1950,malignant neoplasm of head face and neck,2
290,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled",25002,diabetes mellitus without mention of complication type ii or unspecified type uncontrolled,6
291,Benign neoplasm of heart,2127,benign neoplasm of heart,2
292,Carcinoma in situ of other and unspecified digestive organs,2309,carcinoma in situ of other and unspecified digestive organs,7
293,"Bronchopneumonia, organism unspecified",485,bronchopneumonia organism unspecified,7
294,Poisoning by phenothiazine-based tranquilizers,9691,poisoning by phenothiazinebased tranquilizers,1
295,Alcohol withdrawal delirium,2910,alcohol withdrawal delirium,1
296,Hb-SS disease with crisis,28262,hbss disease with crisis,3
297,"Calculus of bile duct without mention of cholecystitis, without mention of obstruction",57450,calculus of bile duct without mention of cholecystitis without mention of obstruction,4
298,Other specified genital prolapse,61889,other specified genital prolapse,3
299,Adult failure to thrive,7837,adult failure to thrive,1
300,"Other complications due to other vascular device, implant, and graft",99674,other complications due to other vascular device implant and graft,8
301,Abscess of anal and rectal regions,566,abscess of anal and rectal regions,1
302,"Tachycardia, unspecified",7850,tachycardia unspecified,7
303,Aneurysm of artery of lower extremity,4423,aneurysm of artery of lower extremity,9
304,Malignant neoplasm of ureter,1892,malignant neoplasm of ureter,2
305,Unspecified dentofacial anomalies,5249,unspecified dentofacial anomalies,7
306,"Osteoarthrosis, unspecified whether generalized or localized, other specified sites",71598,osteoarthrosis unspecified whether generalized or localized other specified sites,3
307,Unspecified condition of brain,3489,unspecified condition of brain,7
308,Neoplasm of uncertain behavior of pituitary gland and craniopharyngeal duct,2370,neoplasm of uncertain behavior of pituitary gland and craniopharyngeal duct,2
309,Other acute pain,33819,other acute pain,5
310,Intestinal or peritoneal adhesions with obstruction (postoperative) (postinfection),56081,intestinal or peritoneal adhesions with obstruction postoperative postinfection,1
311,Unspecified intracranial hemorrhage,4329,unspecified intracranial hemorrhage,0
312,Edema,7823,edema,1
313,Gastroesophageal laceration-hemorrhage syndrome,5307,gastroesophageal lacerationhemorrhage syndrome,1
314,"Open wound of knee, leg [except thigh], and ankle, complicated",8911,open wound of knee leg except thigh and ankle complicated,0
315,Mitral valve disorders,4240,mitral valve disorders,1
316,Contusion of abdominal wall,9222,contusion of abdominal wall,1
317,"Osteoarthrosis, localized, primary, lower leg",71516,osteoarthrosis localized primary lower leg,9
318,Other iatrogenic hypotension,45829,other iatrogenic hypotension,1
319,"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage V or end stage renal disease",40301,hypertensive chronic kidney disease malignant with chronic kidney disease stage v or end stage renal disease,3
320,Diplopia,3682,diplopia,1
321,"Arthropathy, unspecified, site unspecified",71690,arthropathy unspecified site unspecified,7
322,Postsurgical hypothyroidism,2440,postsurgical hypothyroidism,1
323,Late effect of intracranial injury without mention of skull fracture,9070,late effect of intracranial injury without mention of skull fracture,0
324,"Debility, unspecified",7993,debility unspecified,7
325,"Major depressive affective disorder, recurrent episode, severe, specified as with psychotic behavior",29634,major depressive affective disorder recurrent episode severe specified as with psychotic behavior,3
326,Erysipelas,035,erysipelas,1
327,Malignant neoplasm of descending colon,1532,malignant neoplasm of descending colon,2
328,Other postoperative infection,99859,other postoperative infection,1
329,"Malignant neoplasm of liver, secondary",1977,malignant neoplasm of liver secondary,2
330,Other bipolar disorders,29689,other bipolar disorders,1
331,Difficulty in walking,7197,difficulty in walking,1
332,Full-thickness skin loss [third degree NOS] of foot,94532,fullthickness skin loss third degree nos of foot,1
333,"Acute myocardial infarction of unspecified site, initial episode of care",41091,acute myocardial infarction of unspecified site initial episode of care,5
334,"Retention of urine, unspecified",78820,retention of urine unspecified,7
335,"Pressure ulcer, other site",70709,pressure ulcer other site,1
336,Other specified disorders of rectum and anus,56949,other specified disorders of rectum and anus,3
337,"Abdominal or pelvic swelling, mass, or lump, right lower quadrant",78933,abdominal or pelvic swelling mass or lump right lower quadrant,9
338,Ulcer of other part of lower limb,70719,ulcer of other part of lower limb,9
339,Rectal prolapse,5691,rectal prolapse,1
340,Bladder neck obstruction,5960,bladder neck obstruction,4
341,"Pyogenic arthritis, lower leg",71106,pyogenic arthritis lower leg,9
342,Neoplasm related pain (acute) (chronic),3383,neoplasm related pain acute chronic,5
343,Other specified disorders of gallbladder,5758,other specified disorders of gallbladder,3
344,Malignant pleural effusion,51181,malignant pleural effusion,2
345,"Urinary complications, not elsewhere classified",9975,urinary complications not elsewhere classified,8
346,Malignant essential hypertension,4010,malignant essential hypertension,2
347,Acute bronchitis,4660,acute bronchitis,5
348,Alzheimer's disease,3310,alzheimers disease,3
