Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
238992,B0019VAMG6,A6HMKIT00UC7X,L. Bullock,1,1,5,1303171200,Beautiful blend of chocolate & spice,While in NYC came upon the Vosges store on Madison a few years ago and became an instant fan.  You have to be somewhat of a foodie to enjoy the brand or at least an adventurous eater because some of the flavors are unusual but usually amazing.  The Red Fire Bar is my favorite (I like spicy anything) as it's not too dark of a chocolate and just enough to kick to not overpower.  I buy them in bulk but only need a square or two to satisfy my cravings :)
231321,B003FDC2I2,A2LWP1PDN2Z2PY,Ana682,0,0,5,1307577600,Post-work out perfection.,"Initially I used Orgain for weigh loss replacing 2 meals a day with it and I lost about 25 pounds over the course of 5 months.  Now I'm using Orgain as a post workout drink and I've never felt better.<br /><br />I owe my health to this drink and recommend it to all of my friends and family.  Used to drink slim fast and will never get near it again after how delicious this is, both chocolate and vanilla!"
346457,B001CHH3QY,A3F0P4Q4BAPAS7,"Richard S. Riedel ""justaguy47""",0,0,4,1245888000,Keurig Kcup system rocks,The Keurig is the cleanest coffee solution I have ever used.  The coffee quality is very good.  No complaints with this vendor.  They always deliver quickly.
181020,B007Y59HVM,AU116FTIWCMCA,Bonnie,0,0,5,1345852800,Great,"This coffee is outstanding, nice strong flavor without bitterness.<br />I am wondering if these k-cups can be used in a Kreurig Vue?"
403096,B0006766C8,ACDC879HDF62,James H. Gorman,3,4,5,1151798400,Received Just What I Ordered,Fast response - fast shipping - product exactly as advertized.
358671,B003CIBPN8,A1TD4NJV0YCFV7,SDL,0,0,5,1341532800,Zico Pure Premium Coconut Water,"I love this coconut water. It tastes great and is healthy. I mix 2 tablespoons of pure cherry concentrate in 6-8 ounces and get double benefits, and the more I drink it, the more I love it."
68381,B003EM7J9Q,A2BPATJTW99PKK,John Green,1,1,1,1313625600,What happened?,"This is my fourth order of these pork rinds and I'm not sure what's up, but something's really amiss.  The bags are leaking some kind of grease and don't fluff up during the microwave process.  I used to love these, so hopefully this is just a bad batch.  If not, then Lowrey's needs to look into this and fix whatever has happened to a once great snack."
123039,B001E5E2ZE,A2TDACZK00E13S,Phins,0,0,5,1268524800,A must have for Mai Tai's,In my area this flavor is hard to find.  The 3 pack is a great price!  Orgeat syrup is a must have to make a proper Mai Tai.  Fantastic!
231825,B000M1UF8E,A2E1UBJ18CLH,Curly,3,3,5,1204502400,POP tarts everywhere,My young nephew was highly impressed by a Christmas gift of 96 of his favorite flavor pop tarts. He said 12 boxes of tarts were a impressive sight all lined up on the counter. Perfect condition on arrival delivered on a timely bases.
143543,B0007A0AQM,A22UMS020NR3QU,deisel,0,1,1,1342310400,i wasn't,I have  a shih tzu Chihuahua mix and he will not eat these. I was surprised since they got great reviews..maybe my moms cat will eat them.
351112,B0034KN29O,A3HXME9ZRYK5P,Allan W. Brinkmeyer,1,6,3,1278028800,NOT as good as the ones in the tins,"Local retailers stopped carrying the Blue Diamond Honey Roasted Almonds in the small tins for some time now.  Not planning ahead enough to buy another case, I picked up these in hope that ""oven roasted"" + ""honey"" = that same goodness.  NOT TRUE.  These almonds are cloyingly sweet.  They also taste a bit milky, but there are no milk products listed, which just makes the flavor even stranger.  They don't have that crusted on goodness of the tin ones.  However, my 6 year old really likes them and, while I don't have a container to compare, I'm thinking that the lack of crusty goodness *might* make these a somewhat healthier choice for her.  So I give the product 3 stars -  an average of 5 from her and 1 from me."
47254,B0029O10P4,A1Q8QT6GOH6SEX,Lakegirl,2,2,5,1260057600,Six cats can't be wrong,"All of my cats adore these treats. One cat in particular nags me constantly to feed him some and if I don't give him enough, he jumps up beside me and pokes me repeatedly with one claw. Great price, too!!!"
468041,B005HUVI0Y,A3387UZS65PCUW,"Singer Girl ""Teeny Bopper""",0,0,5,1322956800,Great Coffee,"I'm not much of a coffee drinker, but purchased this flavor for my husband. He is normally a ""bold"" taste coffee drinker, but says that this is now his favorite. He says it is not too strong and it's not too weak. It's just a nice ""medium"" blend of flavor. Because he was such a bold coffee drinker prior, I stocked up. I keep trying to get him to drink the bold stock and he only says: ""Do we have any more of that Caribou?"". Well, looks like I'll be ordering much more of his new favorite coffee soon!"
37091,B002P99DOI,A3AQPO5WO0ANY1,george,0,0,5,1337472000,Loving It,"Had a cup of this tea and it was like reliving the past. Always drank this blend at a small Chinese Resturant in Queens, NY. After my first sip I felt like I was back thier enjoying a big pot of tea. Smooth and Relaxing, great blend and will be ordering more soon."
86792,B002DHBT7Q,A33YZNZIRA3H97,l2,1,2,3,1266537600,just OK,"These cookies are OK.  The texture is soft and spongy, not rich and chewy like I would expect from ""fudge"".  They are probably trying to make the cookies look larger while keeping the calorie count down."
370899,B001EO5S1C,A2YUTPKSGIH34Z,C. Andreas,1,1,5,1328745600,Great!,"What more could you ask for other than they are organic and have no additives and therefore perfect?  If you're looking for sweet, add a little sugar or honey, that's what I do.  But sliced banana works great too.  Also great for rice krispie treats but use 5 cups instead of 6 as they are a bit bigger than Rice Krispies."
448338,B0001FQVMK,A21I62TCDL4754,Peter E. Safir,1,1,4,1336694400,attractive tin and good cookies,I found the Amaretti cookies at World Market but bought the attractive tin on Amazon.  My wife collects tins and was quite please.
404609,B001ABMDA8,AIULVCUBD4ALA,"Maria Guerra ""mdguerra""",1,1,5,1248566400,Awesome!,This frappe mix is fabulous.  I love the tiny bits of toffee and the rich chocolate flavor.
359896,B0030HO67I,A35DW2W09LC7BH,Beth Placko,2,2,5,1278633600,love it!,This is hands down the best cat litter I've ever used.  The mini crystals don't clump up and get stuck to the bottom of the tray. It's super absorbent and doesn't stink. I have used Tidy cats Crystals which they don't make anymore. That was the reason I tried World's Best Cat litter which is SO NOT the best. Very stinky after 3 days.  Then I did some googling and came across this brand. I bought it based on customer feedback. I highly recommend it as well and I will never use another brand!
144847,B002OFUBJO,AY3IAMPH9O3XE,"joegrind ""joegrind""",51,59,5,1273190400,Great snack....even during battle!!,"I'm a former Marine, got out after 8 years, did two tours in Iraq and one in Afghanistan. I was first introduced to beef jerky during MCT (Marine Combat Training)...which is where you learn warfighting techniques. For those LONG, sweaty, depressingly hot days in NC...this was an excellent snack. Beef Jerky is nutritious, low in fat content and tastes great! It also is a great chewy snack for those 'hurry-up-and-wait' days. Perhaps the biggest benefit for me was the salt....if you're out in the sun all day, you lose a lot of sweat....the Marine Corps motto should be 'drink water'...but as for electrolytes/ salt....this snack does an excellent job. I love the peppered taste...probably because I'm Jamaican. The 1.5-ounce snack size fits perfectly in your pocket and works out to be about half the price you'd pay at the gas station (thanks Amazon). I have a couple of buddies over in Afghanistan and I sent each two packs....for them and to pass around to their troops...they love it.<br />For a healthy snack (especially if you're very active and sweat a lot)this is a great product.<br />If there was one complaint....I wish the desiccant that is inside every bag was somehow shaped differently.....if you grab a handful in the bottom...you'll never know that you grabbed the desiccant too....luckily I've been able to catch it!"
242383,B0000CNU0A,A2X1EW0OGM782R,Susan T. Steele,9,10,5,1297209600,Good product,"I am from Japan, so I know this is a real macoy. This is based on real dried fish, and that's how Japanese make ""dashi"". I would say this is a good product."
125186,B001E5E06U,A1J5IF0UT8OH1E,momof3,0,0,4,1206748800,"Pricey w/o a special, but very tasty.","Tastes like ""light"" Frosted Mini-Wheats, but has a lower sugar content.  We usually just eat plain shredded wheat, so my children thought this was dessert."
166443,B000IMSSHM,A153KTNMHVD4Q8,S. Huff,0,2,5,1265241600,yummy!!,"I've used these chips for years in my banana nut bread.  They add a special twist to  an old standard.  My kids like eating them alone, as a snack.  They are hard to find at the grocery store.  So I was happy to find them online and for a great price."
229547,B001FB68UE,A2YP32UNEJ42LI,"A. Christine Allen ""True Blue Ril""",0,0,3,1330646400,Surprised,The expiration date is sooner than I expected.  There are four jars in the packaged and I don't use it often.
15970,B0025UNW4E,A3L9ZT7SRJYLVH,"JDTexan ""JDTexan""",2,4,4,1268697600,Lemon at your fingertips!,"These are great for taking with you to restaurants or for home use. Studies have shown that a lare number of bacteria have been found on lemon wedges at restaurants, so these packets are wonderful. I would like to see larger amounts of lemon in each packet and at a more reasonable price."
447618,B004772OWE,A2VO4JXWVV6LFI,Cathy Curry,0,0,5,1330992000,Celestial Seasonings Breakfast Tea,"Great flavor, no bitterness and a wonderful way to start the day!<br />Have purchased additional packages of this product since first tasting it when I purchased my Kuerig coffee maker."
416288,B000MOGV0C,A7ZWW3RLVR8T7,"BarbDee ""Barb""",3,3,4,1250467200,So nice to have pancakes again,"After weeks on the limited choices in Atkins, trying this mix was nice alternative to eggs every morning! The consistency was a little chewy and the taste quite egg-y, but with sugar-free maple syrup I was still in heaven with every bite. I also sprinkled on some cinnamon for flavor. However, next time I'll try reducing to one egg instead of two, and see if this helps cut down the egg-iness. Not bad overall!"
366864,B003APAMBE,A2GNGJW6QQQ7PL,C. Wright,0,0,5,1291248000,"Taste great, good price","I use these at the gym pretty often and love them.  I love grape, it tastes good but sweet and works to get me going.  Great price -- better than buying it locally for sure."
501589,B0031TJ0X0,A1I2M9BG7J3BRF,Theresa,4,4,5,1327017600,"Decadent, chocolatey WOW!!!! The most delicious ""tea"" ever","I just opened the package and made my first cup - and immediately logged on to Amazon ordered two more packages of this tea!<br /><br />The heavenly aroma of chocolate filled the kitchen as soon as I opened the tin.<br />The cocoa shells are light, crispy, delicate, and CHOCOLATEY.<br /><br />I nibbled a few of them as I waited for the kettle to boil.... Crispy, crunchy and delicious!<br /><br />I decided to use a coffee press for my cacao shell tea. I measured out the approximate amount, and  marveled at the aroma.<br />As I crunched on a few more of the delicious cacao shells while waiting for the boiling water, I became aware of my mood subtly brightening. The kettle whistled, and I poured the boiling water carefully into the cafe press. Rising along with the billowing steam, an unmistakeable scent of fine chocolate was strong and beautiful.<br /><br />I took my first sip and it was HEAVEN. This is like drinking the smoothest, purest dark chocolate. Even without added milk and sugar it is just beautiful.<br /><br />The mood-brightening effects of the theobromine are amazing. I feel happy. Coffee can make me crabby, but these cacao shells are having the opposite effect.<br /><br />Highly recommended!<br /><br />I am very happy with this product."
389153,B005HO0A18,A99FG0FGT85V9,Matt.,0,0,4,1335916800,Great product and value.,"I LOVE this body wash!  It smells nice, works great, and feels great on your skin.  Add in the fact that with the Subscribe and Save deal, it is a great value, I'm sold!"
562196,B004HOSGWE,A1E8F0AYFXPCRB,Derrick,0,0,5,1293580800,Amazing,"Better tasting then just about any potato chip and tons healthier too, especially for low carb diets. These things are just amazing. The lime and chili flavors are equally bold and complement the flavor of the almond quite nicely. Highly recommended.  They have some other flavors that may be worth trying too."
528268,B002ALRKZU,A1R5ZVZ1DXHGJ,Linda Miller,1,1,5,1310342400,must have product,"I must have a little yc dark sugarfree chocolate everyday. This is a fantastic product for people like me who cannot eat refined sugars.<br />The maltitol in the yc dark chocolate is the best sweetener because it assimalates into the bloodstream very slowly and as a result I feel great.<br />Keep up the good work you do in making such a wonderful product that serves many of us so well. Thank you doesn't begin to cover it! I am a huge fan<br />and greatly appreciate all your hard work.<br /><br />Sincerely,<br /><br />Linda Miller"
116028,B0026BQKT6,AWTDRN32L85I2,Richard Vesel,0,0,5,1306627200,Great substitute for peanut butter!,"My son has had peanut allergies all his life, but WOWBUTTER is his favorite for making protein shakes.  I've tasted this as well, and it makes a really decent substitute for peanut butter - highly recommended!"
548924,B000Z3MBMC,A3LZRMEY97ZPZL,angie,1,1,5,1327104000,Awesome!,"These liver treats are awesome!! My dog loves them and they definitely make a nice reward especially after getting his nails cut. My dog is also kind of a picky eater and he doesn't really like his dog food, but since he's allergic to potatoes he doesn't have very many options to what kind of dog food he eats. To coax him to eat his food, sometimes I'll get a piece of these treats, crush it up and sprinkle it over his food. He seriously is the best eater after the liver treats are all over his kibbles. I also gave these treats to my cousins chihuahua whos also a really picky eater. She a little worse than my dog, she doesn't like any kind of treats, but she'll eat these! Yes, these are kind of expensive especially since I'm still in college, but it's so worth seeing my doggie happy :)"
383003,B001PMDYV4,AFS8GLUYZIE58,"Coddington ""coddington""",2,2,5,1264464000,great high quality food,"Pros: organic, grain free and a reputable company that gives back to the community<br />cons: my cats needed a few days to get used to this. yes the meat looks grey. but that is because it is all natural.<br />What I do is mix a 3 ounce can with half a can of Wellnes Beef and Chicken. (so its 3/4 meat and only 1/4 chicken) This seems to work. They love this combo. If I just give them the newman's, they eat but don't finish it. Out of all of the grain free beef canned cat foods, I've had the most success with this. My cats didn't like Nature's Variety Instinct or by nature organic. (Both great brands) But its really important to rotate protein sources so that my cats don't develop allergies (my six year old cat recently developed a seafood allergy after only eating seafood for 5 years...) so I push the beef on them.<br />Give it a shot. It might take some work or creativity but eventually you should win. Both my cats are v finicky and I found a way to make it work. Organic beef! I don't even eat organic beef all the time! LOL! ITs a bit pricey but its worth it. Healthy food = healthy cats=longer life=less disease/health problems."
275002,B0024L6WQE,A2TPM6XC32QPW9,M.E.'s Family,0,0,2,1318809600,Strawberries are NOT Organic...pesticides?,"If you want true organic (pesticide free), then you'll need to look elsewhere.  The title and description (as of today) are deceiving; this product is NOT Organic, it is only made with SOME organic ingredients.  If you read the ingredients, the strawberries are NOT organic, however the title and description lead one to believe the product is organic.  Strawberries are at the top of the list of pesticide containing fruits, and it is a shame that a company that prints on their cereal boxes ""Since 1966, Erewhon has led the organic revolution and we remain passionately committed to providing the purest organic foods..."", would cheap out and put NON-organic strawberries in their cereal.  If you don't care about eating organic, then enjoy; the taste is okay.  I only tried a couple of flakes and they had a slight odd flavor, but I cannot comment on the strawberries' flavor as I could not bring myself to eat non-organic strawberries.  My husband said the cereal tasted okay, but Natures Path Corn Flakes and Mesa Sunrise flakes are much better."
515502,B0046BGC1U,A2LAFNJNCO7HLW,josie,3,3,2,1314489600,valuepetsupplies excellent service,"I found out after this was received that the product is not made in America, so I returned it.  Value Pet Supplies customer service is EXCELLENT! They were pleasant and went out of their way to be helpful. I would not hesitate to order from them again, but I wish I had been able to determine before ordering where the product was made."
122121,B000ORSIJ4,A12ETYOQTU8U33,Iris S. Anaya,0,0,5,1339545600,Love this product!!,We have order this product 3 times already. My husband and I are on an organic sugarless new eating habit and this is one of the products that we can use; the best thing is that it has no after-taste. We use this product for any recipe that calls for sugar and for our coffee. This 5 lb bag last us about 2 months; it's less expensive than buying the individual packages at the Whole Food Market.
88347,B001MBTNUE,A165ME21JE98VF,A. Greene,0,0,5,1329004800,Great Valentine's Day Decorations!,These decorations are perfect for whatever you are making for Valentine's Day!  Sprinkle them on cupcakes or cookies.  Dip pretzels in chocolate and sprinkle the chocolate before it cools.  Can be used year round for a fun sparkle of pink/red on your desserts.
53088,B0000DCWWI,AAHFNMLNIG6OP,novice,0,0,4,1344988800,Hot? Yes... Tasty? Yes... Insane? No,"I received this salsa today. Based on the reviews, I was hoping for something I could barely eat (i am a heat freak, what can I say). This salsa is good, it has great flavor and packs some good heat but to call it insane is a bit of an over statement. Another reviewer mentioned it would take a few months to eat a whole 12oz jar, I bet I go through this stuff in less the 2 weeks. Don't get me wrong this stuff is hot, if you are not used too hot stuff this will probably send you running for the hills. However for someone like me its just hot, not super hot and certainly not ""insane"". I have had some ghost pepper chili that made me almost hallucinate (im not kidding). That is what I was expecting from this salsa. I ate 6-8 tortilla chips that were fully coated with this salsa and sucked em down without even something to drink. Again, I dont want to come down on this salsa because it is good, I just want those true chili heads out there to know that its not insane compared to our standards.<br /><br />Enjoy it, its tasty, just not insane."
536407,B003SNZ5VA,AREO5P83D8ND0,Sandra Strait,0,3,1,1332806400,Yuck,I bought this candy bar because it had healthier ingredients. It didn't taste good though. The sea salt was too strong. It was too much of a contrast with the sweetness of the candy.
127662,B003VMD89Y,AMXTB60KCUO0M,"Flo ""Shopping addict""",0,0,5,1283040000,My MOST FAVORITE snack!!!!!!!,"I am a cheese lover, and this pizza chips has MELTED cheese on each ridge. It is very very tasty and delicious! I haven't tasted anything like it! That's why even though this isn't available in my country, I always ask friends coming home to buy it for me!"
290585,B004N5ILBI,ALIBPMQBH2DI3,Mumtaz,2,2,5,1326067200,Very nice tea for a reasonable price,"Green tea`s benefits as an antioxidant and its benefits to digestive system are generally known.<br /><br />This particular green tea has a smooth taste when you brew it in a porselain teapot. One tea spoon of the tea is recommended by the seller but you can add more for stronger taste or less for milder taste according to your preferance.<br /><br />You can also watch the flowering ceremony of the hand-rolled pearl green tea leafes in a glass teapot.<br /><br />I personally recommend this green tea to all tea lovers, especially as a substitute for black tea or ceylon tea."
122597,B0001I1HFS,A19XPPXGC73B42,Lyn,1,1,5,1229126400,Frrrozen Hot Chocolate,"This stuff is awesome!  If you can't be in New York to drink it, get some to have at home with tons of whipped cream and lots of chocolate sprinkles!!!  It's amazing!"
357862,B001GCTTRQ,A2E3TRWY14IQBL,Pen Name,1,1,5,1346457600,amazing!....,I purchased this item a month ago and i drink a cup morning and night. I love it! I drink it with clover honey...
524374,B001EO6172,A1XZ8CB5U1ZSSM,"Happy Camper ""D""",0,0,5,1326499200,Very pure taste,"Just got these and really love them. Will tote with to school with me for that mid-class hunger. Kind of a learning curve on getting them to ""pop"" but worth the effort! Hubby plans to keep some in his briefcase for travel too."
352151,B000OSL2J6,A2VCFAXA4CR5KL,D. Driscoll,0,0,5,1324339200,Add K.K. to your cats food!!!,"I have a VERY finicky cat. If she only knew how much money I spend on the high quality food she is eating (naturesvariety.com). Anyway, she was losing a little weight and wasn't eating as much as she should. I mix K.K. in with her food and she gobbles it right up. I feed her N.V. raw medallions  mixed with chicken baby food which has a more wet consistency and it blends all the way through the food so she eats it all. She is getting back to her ""fighting weight""....it your cat is a finicky eater, I promise this will do the trick. Great product. No expiration date and doesnt need refrigeration. Its pretty ""flakey"" so I put it in a food chopper so a little goes a long way. The cats only need to smell it in the food and they will attack. Sprinkle a little on the top to get them interested and they will dig in. Aloha"
266901,B004BKLHOS,A3F68N9OI8Y67,Fitness Fan,0,0,3,1298937600,"Decent tasting, the texture though....ack.","I got to try these graham crackers recently.  The taste in and of itself is nice.  A little too sweet for my taste, but very pleasant.<br /><br />The texture isn't to my liking, however.  Reminds me of that stale graham cracker texture you get when you don't wrap up your graham crackers and they sit out for 2 weeks.  I know that it's probably because of the lack of preservatives in the cracker, but it is offputting none the less."
65694,B004TPUT9Y,A2Y8YFXEZWW34Y,Gluten-free Mom,0,0,4,1325289600,Surprisingly good!,"I've never been a big fan of boxed macaroni and cheese because my mom always made it from scratch with Velveeta.  I ordered a case of these from another site, and when it arrived, I could tell one of the bowls had leaked out into the box.  So, rather than waste it, I poured it back into the cup and went ahead and made it.  Of course, I lost some of the cheese powder in the spill, so I thought I would have to add more cheese to make it taste acceptable, so I was very surprised that I didn't.  Haven't tried a new one yet, so it should be even cheesier.  Very easy to make by only adding water and microwaving, however, this is more of a side dish, not a 'meal' as they call it."
469826,B003YK8YL0,AGW8GZSLYPACB,WCH,3,3,5,1234310400,These are very good cookies.,"These cookies are very good.  They have a nice texture because of the oats and they have a great taste.  They are my favorite cookie.  If you like oats, you likely will enjoy these cookies."
274584,B004PR2OYE,A2YKRWJA4Q2UC0,"Florence H. Mamuzich ""hawaii dream""",1,1,5,1349740800,Great,"I found the tea sampler excellent.  It was the best way to sample all the types of tea available in K cups, as well as being different."
27245,B0033HGLTG,A85OCYZA5D7OS,di1949,0,0,5,1348444800,Delicious,"Smooth, never bitter, perfect after supper coffee!  This is a favorite that I have purchased repeatedly, and will again in the future."
503629,B003G2LK44,AJR4ZCSZA6PFJ,Shannon W. Miles,0,1,3,1328313600,A indication of what is wrong with manufacturers,"I have no issue with the product itself, my issue is with the incentive system that is being put into place via the subscribe and save option.  Listen, why is the smallest package the only option and by the way the cheapest per ounce?  That is ridiculous when you end up with so many teeny packages and save pretty big doing so compared to other 'bulk' options that use far less packaging.  Sends the wrong message if you asked me..."
435889,B000LKXQCS,A1PBH8YRXBY5X,Spud,0,0,5,1259539200,Take it camping,I like to take Jerquee on trips since it doesn't need refieration.  This is one of the more spicy flavors which I really like.  I bought an entire case for my last camping trip
323291,B000OQ2DL4,AHAYUF9O8ZNG,Kevino J,3,3,5,1301788800,Good stuff,"I had been eating pumpkin seeds for magnesium for a while, but there are times when I want to get the mineral without a bunch of added calories (like late at night before bed). This stuff is great for that. It doesn't upset my stomach like a magnesium pill sometimes can, and it tastes good, and has no sugar. Maybe it is just placebo effect, but it seems like my teeth are smoother after I swish it around in my mouth for a while. Also, it sometimes helps me relax. I certainly will continue to buy it regularly. I recommend it to my family but none of them listen to me; their loss!"
541139,B000FMTJJQ,A3EXVBHZKKCER,M. T. White,0,0,5,1193788800,Good stuff,"Great stuff to replace sugar.  Just a light, sweet taste without effecting the food or drink like honey or other substitutes tend to do."
15818,B007TJGZ5E,A3FM3935S78K67,Sarge,5,5,5,1289606400,The Best,This is simply the best non-flavored coffee in K-cups that I have tried.  I drink my coffee black and this has an excellent coffee aroma and taste.  It's not bitter nor acidic but has a full coffee flavor.
46108,B001EO5QZK,ALC2730501FVO,GAYLE ISHII,0,0,5,1307577600,lodi gayle,I LOVE THIS TEA.  I WISH STASH STILL HAD THIS IN TEA BAGS.  I WAS ABLE TO TUCK THEM INTO GIFTS TO FRIENDS.  NOW I HAVE TO MAKE MY OWN BAGS TO GIVE AWAY.  THE TEA IS GREAT.
430677,B000EDG3UE,A2K7JWATROGEV3,R. Merritt,2,2,5,1294444800,LOVE IT!,"To have my first taste of Quinoa, I purchased a bag locally that had to be washed. I made such a mess... I have a neurological disorder and my motor skills are poor. SO.. I decided it was well worth the money to pay a little extra for already washed Quinoa. I was SOOO pleasantly surprised that my six year old daughter LOVED this stuff. NEVER has she asked for seconds on rice. She did on this. I have done everything from added cajun spices and shrimp to putting in chicken and craisins. It is incredibly versatile and has an awesome texture and taste. I recommend this product to everyone!! Plus the health benefits are reallly good, and I feel good serving it to my family."
116410,B002YJ0118,A29AIV4OFTJ1TT,"Brian Henselman ""MusicMasters""",0,0,5,1332720000,Really is Movie Theatre Quality,"Works perfectly as a skillet popcorn on a stove.  However, don't cook with seasoning... save it to put on later.  We use only about 2/3 of the seasoning as the full amount included makes it just too salty."
210297,B001TM70V0,A35NC3X8TINXCP,pizza lover,0,0,5,1251849600,Yum!,"My cats flipped out for this variety! I feed fish-based foods as an occasional treat, and they really went crazy for this one. Other than my one cat not eating the peas, their bowls were licked clean. It looks and smells appealing, too - such a rarity in canned pet foods. I will definitely be buying more of the Mediterranean Harvest!"
67076,B0006348H2,A2M37DP44ZNRNQ,Consumer in TEXAS,1,1,1,1319500800,never grew,"Got two 1/2"" high - and as thick as a piece of thread growths.  Very disappointed.  Like all pet parents I was looking forward to doing something fun for my three cats."
62739,B000I1OLT2,A21NVFKZQH4A5D,Asian Amazon,0,1,5,1295481600,My favorite brand of green tea,"I love Stash Premium Green Tea. There are tons of brands of green tea out there, but for an instant cup of hot green tea, Stash is the most fragrant for me."
391232,B0001GUQ34,A3LA2832H7OYV1,"Mary Ann Colclasure ""California Gal""",0,0,5,1236211200,Excellent product,This chicken base is far more better and tastier than the chicken stock in a can.  It really adds great flavor with just a teaspoon full of the base.  I highly recommend this product.
437999,B004985982,A3HK1YTLWVAK7Z,Ronnak,1,1,5,1333324800,Apple chips,"You can't go wrong with these. They are delicious, but don't expect them to last long. The kids ate them right up!"
